X Y Z
-73.2312458663580657 -37.5601340807844011 0
-73.2309763717728401 -37.5601340807844011 1
-73.2307068771876004 -37.5601340807844011 1
-73.2304373826023607 -37.5601340807844011 1
-73.2301678880171352 -37.5601340807844011 1
-73.2298983934318954 -37.5601340807844011 0
-73.2325933392842501 -37.5604035753696408 0
-73.2323238446990104 -37.5604035753696408 1
-73.2320543501137848 -37.5604035753696408 1
-73.2317848555285451 -37.5604035753696408 1
-73.2315153609433054 -37.5604035753696408 1
-73.2312458663580657 -37.5604035753696408 1
-73.2309763717728401 -37.5604035753696408 1
-73.2307068771876004 -37.5604035753696408 1
-73.2304373826023607 -37.5604035753696408 1
-73.2301678880171352 -37.5604035753696408 0
-73.2298983934318954 -37.5604035753696408 0
-73.2325933392842501 -37.5606730699548734 1
-73.2323238446990104 -37.5606730699548734 1
-73.2320543501137848 -37.5606730699548734 1
-73.2317848555285451 -37.5606730699548734 1
-73.2315153609433054 -37.5606730699548734 1
-73.2312458663580657 -37.5606730699548734 1
-73.2309763717728401 -37.5606730699548734 1
-73.2307068771876004 -37.5606730699548734 1
-73.2304373826023607 -37.5606730699548734 1
-73.2301678880171352 -37.5606730699548734 0
-73.2298983934318954 -37.5606730699548734 0
-73.2325933392842501 -37.5609425645401132 0
-73.2323238446990104 -37.5609425645401132 1
-73.2320543501137848 -37.5609425645401132 1
-73.2317848555285451 -37.5609425645401132 1
-73.2315153609433054 -37.5609425645401132 1
-73.2312458663580657 -37.5609425645401132 1
-73.2309763717728401 -37.5609425645401132 1
-73.2307068771876004 -37.5609425645401132 1
-73.2304373826023607 -37.5609425645401132 1
-73.2301678880171352 -37.5609425645401132 0
-73.2298983934318954 -37.5609425645401132 0
-73.2325933392842501 -37.5612120591253458 0
-73.2323238446990104 -37.5612120591253458 1
-73.2320543501137848 -37.5612120591253458 1
-73.2317848555285451 -37.5612120591253458 1
-73.2315153609433054 -37.5612120591253458 1
-73.2312458663580657 -37.5612120591253458 1
-73.2309763717728401 -37.5612120591253458 1
-73.2307068771876004 -37.5612120591253458 0
-73.2304373826023607 -37.5612120591253458 0
-73.2301678880171352 -37.5612120591253458 0
-73.2298983934318954 -37.5612120591253458 0
-73.2325933392842501 -37.5614815537105855 1
-73.2323238446990104 -37.5614815537105855 1
-73.2320543501137848 -37.5614815537105855 1
-73.2317848555285451 -37.5614815537105855 1
-73.2315153609433054 -37.5614815537105855 1
-73.2312458663580657 -37.5614815537105855 1
-73.2309763717728401 -37.5614815537105855 1
-73.2307068771876004 -37.5614815537105855 0
-73.2304373826023607 -37.5614815537105855 0
-73.2301678880171352 -37.5614815537105855 0
-73.2298983934318954 -37.5614815537105855 0
-73.2325933392842501 -37.5617510482958181 1
-73.2323238446990104 -37.5617510482958181 1
-73.2320543501137848 -37.5617510482958181 1
-73.2317848555285451 -37.5617510482958181 1
-73.2315153609433054 -37.5617510482958181 1
-73.2312458663580657 -37.5617510482958181 1
-73.2309763717728401 -37.5617510482958181 1
-73.2307068771876004 -37.5617510482958181 0
-73.2304373826023607 -37.5617510482958181 0
-73.2301678880171352 -37.5617510482958181 0
-73.2298983934318954 -37.5617510482958181 0
-73.2325933392842501 -37.5620205428810578 1
-73.2323238446990104 -37.5620205428810578 1
-73.2320543501137848 -37.5620205428810578 1
-73.2317848555285451 -37.5620205428810578 1
-73.2315153609433054 -37.5620205428810578 1
-73.2312458663580657 -37.5620205428810578 1
-73.2309763717728401 -37.5620205428810578 1
-73.2307068771876004 -37.5620205428810578 1
-73.2304373826023607 -37.5620205428810578 1
-73.2301678880171352 -37.5620205428810578 1
-73.2298983934318954 -37.5620205428810578 0
-73.2325933392842501 -37.5622900374662905 1
-73.2323238446990104 -37.5622900374662905 1
-73.2320543501137848 -37.5622900374662905 1
-73.2317848555285451 -37.5622900374662905 1
-73.2315153609433054 -37.5622900374662905 1
-73.2312458663580657 -37.5622900374662905 1
-73.2309763717728401 -37.5622900374662905 0
-73.2307068771876004 -37.5622900374662905 0
-73.2304373826023607 -37.5622900374662905 0
-73.2301678880171352 -37.5622900374662905 1
-73.2298983934318954 -37.5622900374662905 1
-73.2325933392842501 -37.5625595320515302 0
-73.2323238446990104 -37.5625595320515302 1
-73.2320543501137848 -37.5625595320515302 1
-73.2317848555285451 -37.5625595320515302 1
-73.2315153609433054 -37.5625595320515302 0
-73.2312458663580657 -37.5625595320515302 0
-73.2309763717728401 -37.5625595320515302 0
-73.2307068771876004 -37.5625595320515302 0
-73.2304373826023607 -37.5625595320515302 1
-73.2301678880171352 -37.5625595320515302 1
-73.2298983934318954 -37.5625595320515302 0
-73.2325933392842501 -37.5628290266367628 0
-73.2323238446990104 -37.5628290266367628 0
-73.2320543501137848 -37.5628290266367628 0
-73.2317848555285451 -37.5628290266367628 0
-73.2315153609433054 -37.5628290266367628 0
-73.2312458663580657 -37.5628290266367628 0
-73.2309763717728401 -37.5628290266367628 0
-73.2307068771876004 -37.5628290266367628 0
-73.2304373826023607 -37.5628290266367628 0
-73.2301678880171352 -37.5628290266367628 0
-73.2298983934318954 -37.5628290266367628 0
